Insult,Date,Comment
0,20120619193808Z,yeah and you a f ing expert go back to picking through trash barrels you tool
0,20120618201005Z,those trails will definitely get plowed regardless of the investigation they ll just see it as easier to plow the area than deal with it and once they got plowed i would never return or risk getting stopped and heavily questioned by the po po n np s all the stupid comments are unnecessary it really easy to be cold and heartless and act like you do not give a fuck but i like to see these anonymous commentators talk shit like that in front of this person family or even their own mother grow up children and learn some respect
0,20120529200220Z,suh had a sack the last time they played
0,20120612001540Z,and you are support argument a hole n nnot everyone games on their pc either xa spec whores miss the point entirely n ni prefer the mac to my daily work xa that beings said i also a big believer in the best tool for the job and there are certain things that pc do better database and servers for instance n nthe thing is that you havent proved anything other than an anti apple bias and name calling guilty myself to get your attention id just juvenile
1,20120619171832Z,you are a fucking dumb ass <SIGNS> go back to you xbox dickhead grow up you little fanboy
0,20120515062952Z,you know what would be fun if you guys talked crap back to us more entertaining
0,,beeline sidneycatsby i assuming you are in school in the states
0,,they should put all the gay and lesbians on an island xe x xa xc xa oh wait there is manhattan
0,20120610020958Z,yolo this is hilarious canyon students are so racist <SIGNS> even though most of us are mexican <SIGNS> fuck gabby <SIGNS>
1,20120502203704Z,lets see your papers arealconservati n ntill then shut the fuuk up sticky chin
0,,an interesting angle of organized religion is that religious persecution is never ok unless your defending your own religion xc xa you all are not victims of religious oppression xc xa you are the oppressors xc xa btw i not gay xc xa i just love how you people try to defend your persecution of others while claiming your are being persecuted
1,,correction bitch <SIGNS> you do not think it superb because your hating ass does not know talent and again i am still waiting on you to submit a video of you singing where is the youtube link i am sure you will get all kinds of rave reviews lol
1,20120611215519Z,i think the only trickle that effected you was the trickle of sperm your dad gave your mom and most of that trickled down her leg go back to sleep we will wake you when you are needed again
1,20120515142854Z,and you keep on your knees and keep telling yourself that is a sausage in your mouth xa and that is cream cheese you are swallowing
0,20120620125953Z,what was that like words about nothing you going after andrea mitchell what was fox infomercial not broadcasting yesterday how about the apologies issued for the epa drones and yet here you are attacking andrea mitchell about some stupid gas station gimmick n nhere another newsflash for you mr romney r is out of touch we all already know it mr romney amazement was not just about some gadget at a petrol filling post but that people could actually buy food products there and that they actually eat it n nthis very second mr romney is not even carrying a wallet and it is very likely that he does not even know where it is i still waiting for someone to ask him the tough campaign trail question of how much does a gallon of milk cost <SIGNS> n nandrea mitchell and gas station food unbelievable
0,20120619032603Z,rourke needs to give me a fucking like xa xa jwoude xa hows everyone doin <SIGNS>
1,20120514051227Z,fuck you both
0,20120619182936Z,powers n nmsnbc is far far more biased and hostile in it comments than fox at least at fox there are usually opposing views msnbc is just a shill for the president and they keep having to fire their hosts for all the outrageous remarks they make n nnow cnn is getting almost as bad as msnbc
0,20120527213608Z,what horrible trades are you talking about <SIGNS>
1,20120320212724Z,and retards like you back to the institutions
0,20120610004410Z,weapons lol hes an idiot an waste of human space had it made and ruined it all
0,20120529210906Z,not a big fan of rondo but the dude can ball i would not classify him as a big talker just trying to psyche himself up
1,20120619190700Z,pig maher you forgot your meds again you know you are one sick sob so do not forget
0,20120611201812Z,it not just the rich screaming about taxes xa it the average middle class american who pays his her taxes and does not see the benefit of those taxes but instead sees waste xa i pay federal taxes but i do not use public schools i not collecting any govt welfare or benefits i pay for my own healthcare etc xa i use the roads and sewers so i do not mind paying the city taxes xa for that xa my trash pick up is private so i pay that directly to the trash company xa xa everyone should pay for what they xa use not xa based on what they make xa xa if xa one wants to be a part of society one should xa contribute and pay their fair share xa that includes the rich or poor
1,20120320095936Z,mr king is not it about time you either grow a pair of balls or join the democrats who will love a pussy cat like you
0,20120619203524Z,i amused by the fact that weblog cons drop any issue once it turns into a loser n nthis is an expression of that amusement
0,,gabriel xc xa xc xa getting time to blow that horn <SIGNS>
0,20120529153517Z,exactly like i do not really give a shit how fat a person may or may not feel but it really is shitty when your clothes do not fit and not in a i so gross way but in a i ca not very well leave the house naked <SIGNS> way
0,20120619204714Z,welfare queen into a whore not a crack whore xa i think a whore is a more productive worker than a welfare queen
0,20120611235119Z,political correctness n npolitical correctness is a doctrine fostered by a delusional illogical minority and rapidly promoted by an unscrupulous lamestream media which holds forth the proposition that it is entirely possible to pick up a piece of ch t xa by the clean end
1,20120620063410Z,what an ass you are funny i see a lot more of you nuts in cars then i ever have of pilots in panes
1,20120530113926Z,you can take international law and xa shove it you are such a schmuck i don t know why i even comment on your idiotic posts the peace activists on the ship started hitting the soldiers with weapons in order to kill the
0,20120612023024Z,blown is a little pissy after he applied for a union job and was turned down he is just another good republican minion spreading today message
0,20120619224557Z,if you dont have a teleport and air mix ups you are nothing to me
0,,stop trying to sound like a victim bitches dont understand men dont have the same temper and not the same thoughts go through you mind than ours u put a nigga on da spot get up in his face and start throwing yo stank breath on us believe me u got it coming yal go no right period
0,20120610065027Z,robert moroni you fuckin dimwit do you know what a parody is it a fuckin parody of fox news and it sounds accurate to me <SIGNS>
1,20120514051108Z,the most evil callous vile creature in all of mythology is your made up god stop killing and eating babies you dirty christard <SIGNS>
0,20120620181659Z,oops <SIGNS> xa how embarrassing for me you are right people st i bow to the superior movie intellect of your son
0,20120612031614Z,if you throw trash out your window you get a yellow star bumper sticker
0,,once more we see where the soft immigration policy has let the citizens down i bet they come from a family who have less education than a retarded hampster yet were given a nice new life in britain reap what you sow
0,,nope not working for me either w facebook com annagillmodel n n n nyou have my email <SIGNS>
0,20120514051012Z,that jump shooting bit gets old when you do not get calls on contact and get your shot thrown off you look for separation and you jump shoot especially if you ai not big which is most teams because bigs and longs are rare expensive at pro level
0,20120528033457Z,this was a tough loss for us right now there are guys blowing each other in the locker room n n scott brooks
1,20120320210420Z,you a complete and utter moron
1,20120528221848Z,your still a loser man we must have really gotten under your skin lol
0,,the ignorance here is astounding clearly it says in the video that cleveland was already convicted of rape and is serving jail time for it he guilty she was raped <SIGNS> for all of the morons who said ugly statements about her or attacked the veracity of her story the only determination that this court is trying to make is whether cash money should be held liable i think it reasonable that when you invite someone to make a professional presentation at your company that you provide necessary protections for that individual i don t care whether cleveland was employed or just a hanger on a professional guest should not have been left unattended in the hands of someone dangerous that was there admittedly with baby and slim knowledge and permission if you went to a store and were attacked by an employee or a friend of the boss who was permitted to hang around premises would you not hold the company responsible <SIGNS> xc xa
0,20120620153735Z,fuck hard then fuck slow then fuck hard and then start again
0,20120529130655Z,axlrodes xa were you here for the wide receiver drama <SIGNS>
0,20120611211947Z,are you fucking kidding me no mirrors fuck you freesteam
1,20120618200449Z,nothing was confirmed in the th century you moron there was no modern medical science to prove anything dont try to quote from the same period of time that brought us the spanish inquisition you are the lowest of the low i feel sorry for you
1,20120619175937Z,my best friend who is allergic to wheat corn soy red dye yellow dye pistachios tree nuts kiwis cherries oranges bananas and seafood if she gets anywhere near the smell of seafood her lungs constrict and she can no longer breath last week she got cut by a dog leash that had pistachios on it and almost went into anaphylactic i know a little about food allergies xa n ni asked my friend if she thought it was rude and selfish of someone to want food allergies so they could die she said you are a bitch so i do not really think it is insulting that she wants food allergies so she can die i think we back to you a bitch
0,20120527182916Z,so not focusing on boston vs miami for a minute who the scarier opponent sanan or okc <SIGNS>
1,20120610162400Z,floyd has a better knock out percentage than pacman you dumb fuck
0,20120612082854Z,so wat have u bn doing all along if u want to train them nw we thot yo presence must strengthen the strike force bt proving otherws shame <SIGNS>
0,20120619014349Z,the dean of mean is a typical tory who believes there one law for him and another one for everyone else nbig steve better get around to firing everyone at elections canada and replacing them with tory hacks before they really get into what the tories did in the campaign
0,,oh fab we have a tennis player who has a sense of humour and who can smile mr murray please note mind you he has left it too late to cheer up misery guts
0,20120609183518Z,you are repeating yourself mate
1,20120612083701Z,you are one sick puppy
0,20120620155324Z,very true indeed <SIGNS> i tried to sit down and study for hours straight without any breaks and i not nearly as effective as when i take a few breaks
0,20120611013005Z,so da fuck wat if he prasie the devil look where he at keep doin ya thing my nigga
1,20120611204143Z,can i say dick on here <SIGNS> nyour a dick
0,20120611171123Z,niemerg right xa never said it was fool proof tho
0,20120609231913Z,the wonders of plastic surgery
0,20120611173531Z,ron paul cynthia mckinney nthe all wacko ticket <SIGNS> ncalling all paul sheep to the barn for your daily feeding do not forget your wallet <SIGNS>
0,,go on move to hollywood join russell brand and take dan lobe with you
1,,the way this fucking hoodrat is standing in that picture is boiling my blood i like to meet this cunt in an alley for a few minutes selfish fucking twat
0,,hahaha today a group of argentine veterans from the falklands war beat the crap out of a senator of the peronist party the party in power right now for using them for political purposes the people in argentina are getting tired of this show the politicians are doing to distract the argentine population from other far more important problems
0,20120527181201Z,we afford what we have to afford marco
0,20120618223658Z,hey moron buttons kerry wo not be able to bully obama like romney bullied a gay boy when he was in prep school by physically assaulting him n nbut the clown romney wo not be able to bully obama in a debate either so it a wash
0,20120610043304Z,and like it matters you are waiting for next year i am still living in the playoffs suck on it loser
0,,should have hung for what he did this country is all for the monsters that lurk among us <SIGNS>
0,20120618200244Z,childerz xa xa koosh xa xa jwoude xa xa welfarecheese xa xa sdl xa xa nonstopdrivel xa n xa nright on as long as we are both open and honest about how we come to our own conclusions i could not give a shit if we disagree
0,20120619001635Z,they are pecking him to death he gives up ugly runs
0,,blaine jungwirth definitely thought that only deserved a but hey i takes what i gets <SIGNS>
0,20120620142254Z,i ca not trend i on my ipod touch
0,20120612020610Z,this was the joint back in the day <SIGNS> n nand am i the only one who thought gregory looked like he could be philip michael thomas brother lol
1,20120503001924Z,how old are u n nknicks fan beeyatch <SIGNS> n nnot a melo ball licker <SIGNS>
0,20120529224055Z,anything better than the grover norquist tea party wall street corporatist gop
1,20120619195231Z,bitch nigga you need an eye exam and eye glasses <SIGNS> cassie one of the finest women on earth <SIGNS>
0,20120609235433Z,are you attempting to be kinky here <SIGNS> xa you have some kind of fetish <SIGNS>
0,20120618204044Z,you get the gold star <SIGNS> the best post i seen on here in months <SIGNS> hilarious great job canadian <SIGNS> ps i think we need you to come down here i ll sponsor you <SIGNS>
0,20120530024237Z,how old are you <SIGNS>
1,20120612051753Z,nothing worse then a idi t who smugs because of who he is gay
1,20120528043620Z,you a child rapist in ny you have admitted it many times you sick fuck <SIGNS> you have no room to talk
0,20120529130729Z,j o xa the man was a genius
1,20120611235146Z,anti american piece of shit you are
1,20120502165117Z,have you be sipping at th e sacramental wine again <SIGNS> n nyou really are a dense little dude
0,20120529093527Z,yes but remember the government is listening to the views of the owner of wonga n nwonga will loan your business xa money at astonomical rates
0,20120530054153Z,the tirade is not what people caused people to dislike her read her comments like this one i know of her story and her husband we all have stories i mean i almost died and venus is struggling herself so you know it life n nshe comes across as uncaring and selfish on top of that she never gives an opponent any credit it always about what she did n ni absolutely like venus consistently root for her and have for years but serena is an absolutely awful person that needs to grow up
0,,stacy c is right dumbama and his fat ass wife and their cronies have created this atmosphere of govt interference and what they feel govt entities should be doing xc xa schools and others take their cues from the top down and when they see this admin forcing restaurants to publish calories on menus then they feel they should be doing their part for their messiah and become food police xc xa i cannot believe that a school puts out an approved food list xc xa xc xa i would be suing xc xa
0,20120529113543Z,gallup daily nmay u updates daily at p m et reflects one day change nno updates monday may next update will be tuesday may nobama approval nobama disapproval npresidential election nobama nromney n day rolling average n n it seems the bump romney got is over and the president is on his game
0,20120612120924Z,this is someone whose self importance got the best of him if anyone should be fired it would be tate this kind of behavior is inexcusable and unbecoming of a man who holds the futures of many employees in his hand
0,20120530113019Z,do not stand on your porch
0,20120528204226Z,camp has got to come in here and get this guy this is where you earn your money
0,,you could not be more wrong the american tea party stands for limited government fiscal responsibility and a return to our constitution the tea party when it rallies or protests does it legally with brains we pay the permits arrange the events say our piece and then clean up and go home the occupukes on the other hand are not only different they are opposite they trespass they steal they show up without permission they damage private property they collect urine and feces to throw on people they set fires they smash store windows they rape young girls i can go on and on oh and the heat ac and warm beds were all paid for by those people do not kid yourself that we are not committed to our cause because we are not stupid like you or ows there is a right way and a wrong way to do things you and the occupunks have choosen the later
0,20120529084343Z,because that is how they get their rocks off our government is run by pedophiles who sexually torture children
0,20120514051009Z,he actually said what a spoiled bitch i am xa i never hated colton the way most of the posters did because i felt for him xa being gay in a republican family can only mean that you have been villified xa he was dismayed that it was men vs women as that took away any comfort zone he may have had xa the men did not welcome him and when he got power it went to his spoiled bitch head
0,20120610074630Z,with inbreeds being the longest running malcontents
0,,quote from teresa may that is why we have been trying to deport him to jordan his home country trying since when does a sovereign have problems trying to deport diseased minded scum like him stuff the eu laws and if the uk is fined by the eussr for doing this then don t pay it and then stop all financial payments to this corrupt experiment it doesn t work its broke so listen to the people camoron and have an in or out referendum now <SIGNS>
0,,nilbymouth n nyou are right concerning campbell my bad the qb carosel has me mixed up anyways i still do not like knapp and think we went that road with him once before and do not need to revisit it again cable obviously did not think too high of him if he stripped his playcalling duties and decided to call the plays himself if knapp was truely great at what he does he would have had some positive influence on this team with his quarterbacks and in my opinion he did not carson palmer needs a guy like saunders whose offensive connection to him is undeniable
0,20120529160040Z,i ll like your comment too if it makes you feel better
0,20120610000015Z,why did not obama go to wisconsin and urge the republicans to abandon their own america form of austerity <SIGNS>
0,20120528195900Z,if they deleted his post i wold surely be banned for my flaming all over joe
0,20120502062701Z,what the hell are you talking about <SIGNS>
0,20120529035417Z,people dancing drinking having fun at the clubs in miami n n life is good in miami heat won <SIGNS> lets get drunk n n heat fans
0,20120515182944Z,this is so american load of utter positive people makes positive lives fake christian bullshit xa n nput it this way take for example give up complaining this to me just reads like become a walk over if we all gave up complaining nothing great would get done or crap would be accepted go into a hairdressers get a shit haircut for do not complain because you are a happy pissed off with your shit haircut person who just been taken for a ride xa give up the luxury of criticism for a start it not a luxury you can be critical if you want i believe it is a trait that i enjoy why many people are idiots it the truth if you are in a job and you do not criticise people who do crap work then you ll have an office workplace full of people who ca not do their job these are basic personality traits of intelligent people but i guess retards are happier than all of us
0,20120609213514Z,you one of my favorite commenters
0,20120611051049Z,dude it looks nothing like the fag box it looks more towards playstation meets alienware console it has already been proven that modern consoles continually progress towards a pc so please take your xa idiotically painful comments xa elsewhere
1,20120527231602Z,howe does it feel to be a freedom leech parasite <SIGNS>
0,,and all the arseanal fans silently weep into their hankies <SIGNS> n nthere nothing to see here fellas he a free man and still the spurs manager <SIGNS> n n n nunlucky <SIGNS>
0,20120529211852Z,yes you have to have comedy in your life
1,20120619192139Z,moron the latinos are becoming a large voting block you ca not just dismissed them like you did with blacks gay women and other minorities nyou need a majority to win and all whites do not buy your crap
0,20120609171819Z,when is bush going to be asked to campaign for romney when he does i ll buy you a dinner i wonder why bush is not wanted n nthe better question is why a sitting president like obama is not wanted <SIGNS> n nnotice he did fundraisers the weekend before the vote all around wisc never stopped in wisc n nnotice no one wants his help campaigning <SIGNS>
0,,wait till a raptor grabs it in mid air bad days man
0,20120610002525Z,have you ever given him props or at least not dissed him out on any thread i not a fan of his movies either but that do not mean i start talking shit on every fucking post
0,,big o other that dynamic has been clear since the teabaggers threw their first tantrum in january of and rush declared that he wanted the president to fail n n n nthey want the economy to suck they need the economy to suck this explains their otherwise puzzling legislative choices over the past three years
1,20120609233435Z,you are stuck on stupid obviously give me a break and do not vote nmoron
0,20120619063951Z,this man drunk as fuck he on drugs he a male prostitute
1,20120619221729Z,who told you that stupid ask yourself who kick his daughter out of the house at the age when it comes protecting weaman you guys the last ppl on earth who can open their mounths
0,20120612004703Z,lets go west xa try big nthey are dope
1,20120619103111Z,ight ima get in on you mr army man or w e the fuck you are i have family fighting on battle field right now atleast members are all juggalos just like me you little ick sucking divk whipped bitch if you have the time to sit here and talk shit about family then you obviously are not doing your job fighting for our country your busy trying to start another world war with the juggalo family so shut the fuck up and grow a pair you pussy
0,20120529233441Z,you are so correct the red sox are the worst team
0,,headlines going to be in a few months mark wright reject back home
0,,i did not watch game so this morning watched sky see what fuss was about i have to say at times football fans have to put there loyalty to respective clubs aside what ballotelli did was a disgrace he won t admit it but that was deliberate and has no place in football i will be amazed if he is not banned
1,20120611091050Z,are you retarded you think iraq afghan were avenging deaths lol get yourself checked buddy even bush would laugh at you n nthere is a reason why we are proud of india cuz we are not like us or israel who will or can go to war at the drop of a hat on the long run even that is proving costly to them xa n nso wake up we are talking about music here not war you dumb moron
0,20120612092607Z,no matter how great your body looks there xa something pathetic desperate and trashy xa about a woman that old acting like that <SIGNS>
1,20120529090040Z,pisii apparently knows nothing about cold facts n nrepublican trolls make us all sick with their non factual crap n nyou can cry until your lies mean nothing to intelligent people
0,20120610200600Z,the bad part of the story is the dumb redneck republicans like yourself n nnot sure if these folks are sociopaths like you though so you probably a downgrade from them
1,20120320200133Z,you as stupid as you were yesterday
0,,i may never see the light of day again he should never see the light of day again <SIGNS> twisted beyond belief you couldn t do what he did to a dog let alone another human being
1,20120619024452Z,there are a lot of morons posting on this site but you are in a class all by yourself
1,20120618204027Z,you are a moron
0,20120611233921Z,how the fuck do you have orange beef but not orange chicken <SIGNS>
1,20120612023153Z,suck my dick yeaah babby pussy
1,20120515161425Z,autumn you are and idiot n nred flag girls with no sense of humor
0,20120529213135Z,eli manning brett favre john elway
0,,if she wo not sleep with you you could probably just force yourself on her and any reasonable judge would take that tattoo as a permission to date rape stamp
0,20120609174056Z,holder and obama will be hit back from all directions and times as hard dozens inside the doj and the wh who have dignity and patriotism will turn on them both like rabid dogs this administration is goind down and right into federal prison nothing can stop it now nothing at all the people are pissed off and out for heads n nholder peice of shit n nobama fucked up sociopath
0,20120611184459Z,so is a skunk half black and half white and they both stink why do b l a c k people stink so blind people can h a t e nthem too lol
0,20120618194105Z,i wonder if that stand up in court he might have killed someone but fuck me he can play cricket <SIGNS> he was a prick
